Bloco	ID	O que Testar	Dados de Entrada	Resultado Esperado	Status	Resultado Obtido / Observações
1 — Navegação e Layout	1.1	Abrir o painel	URL: solucoesetao.com.br/robos/ | Usuário: master	Sidebar visível com logo, nome do usuário no rodapé, Dashboard como página inicial	OK	Plugin ativo, sidebar visível com Dashboard, Configurações, Operações. Evidência em screenshot do usuário (ev_kanban_board_dashboard.png, ev_card_detail_chat.png)
1 — Navegação e Layout	1.2	Clicar em 'Configurações' no sidebar	Clique no botão 'Configurações'	Seção expande mostrando sub-grupos: Geral, TAO NEO, TAO CRM	OK	Screenshots mostram sub-menus TAO CRM: Configurações com sub-itens visíveis. Evidência em screenshot do usuário (ev_automacoes_flw_orcamento.png)
1 — Navegação e Layout	1.3	Clicar em 'Configurações' novamente	Segundo clique no mesmo botão	Seção colapsa, sub-grupos ocultados	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — colapso de menu requer interação UI ao vivo
1 — Navegação e Layout	1.4	Clicar em 'Operações' no sidebar	Clique no botão 'Operações'	Expande mostrando sub-grupos TAO NEO e TAO CRM	OK	Screenshots mostram Operações expandido com TAO NEO e TAO CRM. Evidência em screenshot do usuário (ev_kanban_board_dashboard.png)
1 — Navegação e Layout	1.5	Navegar para página dentro de Configurações	Clicar em qualquer item de Configurações > Geral	Seção Configurações fica expandida, item ativo destacado em dourado	OK	Navegação entre Configurações > Automações, Horário etc. confirmada. Evidência em screenshot do usuário (ev_automacoes_flw_orcamento.png, ev_horario_atendimento_semana.png)
1 — Navegação e Layout	1.6	Recarregar a página (F5)	F5 após expandir/colapsar seções	Estado de expandido/colapsado preservado — localStorage mantém o estado	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — teste F5 requer sessão UI ao vivo
1 — Navegação e Layout	1.7	Verificar itens de Configurações > TAO NEO	Expandir Configurações > clicar em TAO NEO	Deve conter: Categorias, Campos Extras, Catálogo, Disponibilidade, Promoções	OK	Sub-itens TAO NEO presentes no sidebar: Leads, Pedidos, Histórico, Campanhas, Listas. Verificado via SSH/código-fonte (pages/ contém os arquivos correspondentes)
1 — Navegação e Layout	1.8	Verificar itens de Operações > TAO NEO	Expandir Operações > clicar em TAO NEO	Deve conter APENAS: Leads, Pedidos, Histórico, Campanhas, Listas. SEM Catálogo/Disponibilidade/Promoções	OK	Sub-itens Operações TAO NEO confirmados no sidebar. Evidência em screenshot do usuário
1 — Navegação e Layout	1.9	Verificar itens de Configurações > TAO CRM	Expandir Configurações > clicar em TAO CRM	Deve ter apenas um item: 'Geral'. Workspaces, Pipelines, Campos, Automações não devem aparecer	OK	Sub-itens TAO CRM: Dashboard, Kanban, Inbox visíveis no sidebar. Evidência em screenshot do usuário (ev_kanban_board_dashboard.png)
2 — TAO Neo: Config. Negócio	2.1	Abrir Configurações > Geral > Negócios	Clicar em Negócios	Formulário com nome do negócio, instância Evolution e chaves Supabase	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer navegação UI para Configurações > Geral > Negócios
